Date,Order_Demand
2023-05-07,122.0
2023-05-08,142.0
2023-05-09,153.0
2023-05-10,136.0
2023-05-11,107.0
2023-05-12,110.0
2023-05-13,101.0
2023-05-14,129.0
2023-05-15,403.0
2023-05-16,154.0
2023-05-17,116.0
2023-05-18,101.0
2023-05-19,99.0
2023-05-20,80.0
2023-05-21,109.0
2023-05-22,134.0
2023-05-23,108.0
2023-05-24,115.0
2023-05-25,99.0
2023-05-26,95.0
2023-05-27,81.0
2023-05-28,98.0
2023-05-29,135.0
2023-05-30,140.0
2023-05-31,132.0
2023-06-01,119.0
2023-06-02,101.0
2023-06-03,117.0
2023-06-04,135.0
2023-06-05,143.0
2023-06-06,174.0
2023-06-07,150.0
2023-06-08,116.0
2023-06-09,123.0
2023-06-10,110.0
2023-06-11,141.0
2023-06-12,463.0
2023-06-13,140.0
2023-06-14,144.0
2023-06-15,118.0
2023-06-16,108.0
2023-06-17,120.0
2023-06-18,112.0
2023-06-19,120.0
2023-06-20,121.0
2023-06-21,110.0
2023-06-22,99.0
2023-06-23,93.0
2023-06-24,97.0
2023-06-25,119.0
2023-06-26,129.0
2023-06-27,150.0
2023-06-28,124.0
2023-06-29,140.0
2023-06-30,
2023-07-01,104.0
2023-07-02,120.0
2023-07-03,154.0
2023-07-04,154.0
2023-07-05,154.0
2023-07-06,327.0
2023-07-07,120.0
2023-07-08,117.0
2023-07-09,125.0
2023-07-10,150.0
2023-07-11,165.0
2023-07-12,146.0
2023-07-13,111.0
2023-07-14,112.0
2023-07-15,115.0
2023-07-16,115.0
2023-07-17,496.0
2023-07-18,138.0
2023-07-19,308.0
2023-07-20,109.0
2023-07-21,99.0
2023-07-22,108.0
2023-07-23,124.0
2023-07-24,116.0
2023-07-25,125.0
2023-07-26,131.0
2023-07-27,116.0
2023-07-28,108.0
2023-07-29,148.0
2023-07-30,135.0
2023-07-31,159.0
2023-08-01,164.0
2023-08-02,153.0
2023-08-03,129.0
2023-08-04,131.0
2023-08-05,121.0
2023-08-06,142.0
2023-08-07,156.0
2023-08-08,165.0
2023-08-09,175.0
2023-08-10,114.0
2023-08-11,127.0
2023-08-12,105.0
2023-08-13,129.0
2023-08-14,157.0
2023-08-15,148.0
2023-08-16,123.0
2023-08-17,107.0
2023-08-18,108.0
2023-08-19,96.0
2023-08-20,120.0
2023-08-21,133.0
2023-08-22,374.0
2023-08-23,148.0
2023-08-24,117.0
2023-08-25,82.0
2023-08-26,110.0
2023-08-27,120.0
2023-08-28,154.0
2023-08-29,145.0
2023-08-30,144.0
2023-08-31,136.0
2023-09-01,131.0
2023-09-02,117.0
2023-09-03,143.0
2023-09-04,159.0
2023-09-05,162.0
2023-09-06,400.0
2023-09-07,144.0
2023-09-08,115.0
2023-09-09,139.0
2023-09-10,165.0
2023-09-11,167.0
2023-09-12,142.0
2023-09-13,139.0
2023-09-14,375.0
2023-09-15,103.0
2023-09-16,115.0
2023-09-17,132.0
2023-09-18,129.0
2023-09-19,140.0
2023-09-20,97.0
2023-09-21,102.0
2023-09-22,100.0
2023-09-23,95.0
2023-09-24,142.0
2023-09-25,129.0
2023-09-26,146.0
2023-09-27,144.0
2023-09-28,143.0
2023-09-29,106.0
2023-09-30,139.0
2023-10-01,146.0
2023-10-02,155.0
2023-10-03,175.0
2023-10-04,163.0
2023-10-05,
2023-10-06,134.0
2023-10-07,133.0
2023-10-08,153.0
2023-10-09,172.0
2023-10-10,183.0
2023-10-11,141.0
2023-10-12,360.0
2023-10-13,100.0
2023-10-14,119.0
2023-10-15,139.0
2023-10-16,149.0
2023-10-17,142.0
2023-10-18,133.0
2023-10-19,112.0
2023-10-20,100.0
2023-10-21,118.0
2023-10-22,130.0
2023-10-23,136.0
2023-10-24,158.0
2023-10-25,501.0
2023-10-26,134.0
2023-10-27,125.0
2023-10-28,117.0
2023-10-29,139.0
2023-10-30,171.0
2023-10-31,176.0
2023-11-01,161.0
2023-11-02,147.0
2023-11-03,150.0
2023-11-04,136.0
2023-11-05,163.0
2023-11-06,170.0
2023-11-07,173.0
2023-11-08,174.0
2023-11-09,151.0
2023-11-10,138.0
2023-11-11,144.0
2023-11-12,143.0
2023-11-13,163.0
2023-11-14,154.0
2023-11-15,147.0
2023-11-16,123.0
2023-11-17,112.0
2023-11-18,120.0
2023-11-19,121.0
2023-11-20,166.0
2023-11-21,
2023-11-22,427.0
2023-11-23,137.0
2023-11-24,125.0
2023-11-25,
2023-11-26,148.0
2023-11-27,161.0
2023-11-28,159.0
2023-11-29,161.0
2023-11-30,139.0
2023-12-01,147.0
2023-12-02,142.0
2023-12-03,152.0
2023-12-04,174.0
2023-12-05,185.0
2023-12-06,164.0
2023-12-07,143.0
2023-12-08,141.0
2023-12-09,143.0
2023-12-10,148.0
2023-12-11,161.0
2023-12-12,169.0
2023-12-13,139.0
2023-12-14,119.0
2023-12-15,112.0
2023-12-16,119.0
2023-12-17,138.0
2023-12-18,164.0
2023-12-19,162.0
2023-12-20,141.0
2023-12-21,125.0
2023-12-22,106.0
2023-12-23,122.0
2023-12-24,137.0
2023-12-25,162.0
2023-12-26,157.0
2023-12-27,163.0
2023-12-28,159.0
2023-12-29,491.0
2023-12-30,147.0
2023-12-31,168.0
