Date,Order_Demand,Product_Code,Warehouse
2023-02-21,1939,PROD_5416,WH_C
2023-02-22,2032,PROD_1095,WH_B
2023-02-23,2371,PROD_1444,WH_C
2023-02-24,1917,PROD_8175,WH_A
2023-02-25,1195,PROD_5149,WH_C
2023-02-26,1674,PROD_1319,WH_C
2023-02-27,1701,PROD_7124,WH_B
2023-02-28,1621,PROD_5435,WH_C
2023-03-01,2359,PROD_7705,WH_C
2023-03-02,2091,PROD_6957,WH_C
2023-03-03,1901,PROD_2242,WH_B
2023-03-04,1499,PROD_2550,WH_C
2023-03-05,1693,PROD_9280,WH_B
2023-03-06,1840,PROD_8969,WH_B
2023-03-07,2651,PROD_6825,WH_C
2023-03-08,2327,PROD_1174,WH_C
2023-03-09,2357,PROD_4689,WH_A
2023-03-10,2134,PROD_6237,WH_C
2023-03-11,1718,PROD_5308,WH_B
2023-03-12,1836,PROD_9262,WH_B
2023-03-13,2381,PROD_6420,WH_C
2023-03-14,2635,PROD_5288,WH_A
2023-03-15,1941,PROD_3952,WH_B
2023-03-16,2265,PROD_4222,WH_A
2023-03-17,1934,PROD_6958,WH_A
2023-03-18,1735,PROD_5499,WH_B
2023-03-19,1482,PROD_6374,WH_C
2023-03-20,1838,PROD_5614,WH_A
2023-03-21,2194,PROD_1268,WH_A
2023-03-22,1901,PROD_4750,WH_A
2023-03-23,2473,PROD_4069,WH_B
2023-03-24,2204,PROD_3876,WH_A
2023-03-25,1282,PROD_4726,WH_B
2023-03-26,1610,PROD_4956,WH_C
2023-03-27,2037,PROD_2045,WH_B
2023-03-28,2414,PROD_5714,WH_A
2023-03-29,2516,PROD_7000,WH_A
2023-03-30,2683,PROD_3748,WH_A
2023-03-31,2181,PROD_9669,WH_A
2023-04-01,1778,PROD_8298,WH_A
2023-04-02,1872,PROD_9495,WH_A
2023-04-03,2138,PROD_9190,WH_B
2023-04-04,2810,PROD_9864,WH_B
2023-04-05,2038,PROD_4290,WH_A
2023-04-06,2310,PROD_5896,WH_C
2023-04-07,2487,PROD_8111,WH_C
2023-04-08,1514,PROD_5600,WH_C
2023-04-09,2003,PROD_3897,WH_C
2023-04-10,2294,PROD_7755,WH_A
2023-04-11,2914,PROD_1210,WH_C
2023-04-12,2457,PROD_8145,WH_A
2023-04-13,2203,PROD_6727,WH_B
2023-04-14,2445,PROD_9605,WH_A
2023-04-15,1502,PROD_6872,WH_B
2023-04-16,1629,PROD_2077,WH_B
2023-04-17,2882,PROD_2040,WH_A
2023-04-18,2231,PROD_2965,WH_A
2023-04-19,2507,PROD_1765,WH_A
2023-04-20,2338,PROD_4445,WH_A
2023-04-21,2705,PROD_6798,WH_B
2023-04-22,1872,PROD_6111,WH_B
2023-04-23,1606,PROD_8217,WH_B
2023-04-24,2669,PROD_7335,WH_A
2023-04-25,2335,PROD_6922,WH_B
2023-04-26,2614,PROD_5863,WH_C
2023-04-27,2398,PROD_9707,WH_C
2023-04-28,2076,PROD_3499,WH_A
2023-04-29,1700,PROD_7789,WH_B
2023-04-30,1746,PROD_3353,WH_A
2023-05-01,2668,PROD_6796,WH_C
2023-05-02,3242,PROD_7929,WH_C
2023-05-03,2692,PROD_4593,WH_B
2023-05-04,3260,PROD_4000,WH_B
2023-05-05,2278,PROD_5777,WH_A
2023-05-06,1825,PROD_1975,WH_A
2023-05-07,1544,PROD_6056,WH_C
2023-05-08,2487,PROD_2373,WH_C
2023-05-09,2655,PROD_6717,WH_A
2023-05-10,3192,PROD_9085,WH_B
2023-05-11,2557,PROD_1293,WH_A
2023-05-12,2531,PROD_9751,WH_A
2023-05-13,2165,PROD_3372,WH_A
2023-05-14,2203,PROD_3734,WH_C
2023-05-15,2706,PROD_3197,WH_C
2023-05-16,2557,PROD_3265,WH_C
2023-05-17,3268,PROD_2042,WH_C
2023-05-18,2367,PROD_4354,WH_B
2023-05-19,2470,PROD_7544,WH_B
2023-05-20,1557,PROD_2591,WH_B
2023-05-21,1712,PROD_4603,WH_B
2023-05-22,3134,PROD_1434,WH_C
2023-05-23,2279,PROD_8196,WH_C
2023-05-24,2336,PROD_5065,WH_A
2023-05-25,3080,PROD_2686,WH_A
2023-05-26,2940,PROD_2786,WH_C
2023-05-27,2026,PROD_1289,WH_B
2023-05-28,1897,PROD_7967,WH_B
2023-05-29,2954,PROD_9374,WH_B
2023-05-30,2303,PROD_5605,WH_C
2023-05-31,2246,PROD_7267,WH_B
2023-06-01,2883,PROD_8762,WH_C
2023-06-02,3063,PROD_9463,WH_C
2023-06-03,2232,PROD_3930,WH_C
2023-06-04,1706,PROD_9268,WH_A
2023-06-05,2962,PROD_2009,WH_A
2023-06-06,3146,PROD_7147,WH_B
2023-06-07,3104,PROD_9615,WH_B
2023-06-08,2529,PROD_1311,WH_C
2023-06-09,3024,PROD_3023,WH_A
2023-06-10,1877,PROD_2792,WH_B
2023-06-11,1906,PROD_3585,WH_C
2023-06-12,3285,PROD_6036,WH_A
2023-06-13,3060,PROD_6588,WH_C
2023-06-14,3188,PROD_2018,WH_A
2023-06-15,2597,PROD_7937,WH_C
2023-06-16,2491,PROD_7984,WH_B
2023-06-17,2361,PROD_3045,WH_B
2023-06-18,2254,PROD_1006,WH_C
2023-06-19,3114,PROD_5960,WH_A
2023-06-20,3434,PROD_2005,WH_B
2023-06-21,3386,PROD_7939,WH_C
2023-06-22,3031,PROD_1843,WH_B
2023-06-23,3381,PROD_6500,WH_C
2023-06-24,1737,PROD_2421,WH_A
2023-06-25,2339,PROD_5310,WH_B
2023-06-26,3022,PROD_5202,WH_B
2023-06-27,3321,PROD_8967,WH_A
2023-06-28,2714,PROD_5557,WH_C
2023-06-29,3237,PROD_2607,WH_B
2023-06-30,2896,PROD_3957,WH_A
2023-07-01,2476,PROD_8916,WH_A
2023-07-02,1831,PROD_8762,WH_A
2023-07-03,3633,PROD_5398,WH_B
2023-07-04,3726,PROD_1785,WH_A
2023-07-05,3470,PROD_3779,WH_B
2023-07-06,3285,PROD_7683,WH_C
2023-07-07,2653,PROD_8719,WH_C
2023-07-08,1903,PROD_1205,WH_A
2023-07-09,1905,PROD_9771,WH_B
2023-07-10,3585,PROD_9695,WH_C
2023-07-11,3702,PROD_9142,WH_A
2023-07-12,3519,PROD_2511,WH_B
2023-07-13,3388,PROD_2045,WH_B
2023-07-14,3475,PROD_3366,WH_A
2023-07-15,2105,PROD_5829,WH_C
2023-07-16,1998,PROD_8665,WH_A
2023-07-17,3533,PROD_6056,WH_C
2023-07-18,3704,PROD_5066,WH_C
2023-07-19,3375,PROD_8513,WH_B
2023-07-20,3769,PROD_2583,WH_A
2023-07-21,3301,PROD_5425,WH_A
2023-07-22,2042,PROD_1914,WH_B
2023-07-23,2444,PROD_4999,WH_C
2023-07-24,3544,PROD_9944,WH_A
2023-07-25,3217,PROD_7376,WH_C
2023-07-26,2806,PROD_7435,WH_B
2023-07-27,2694,PROD_7793,WH_B
2023-07-28,3871,PROD_5977,WH_A
2023-07-29,1993,PROD_7627,WH_A
2023-07-30,2406,PROD_9757,WH_C
2023-07-31,3584,PROD_1475,WH_A
2023-08-01,4025,PROD_3763,WH_A
2023-08-02,3452,PROD_3652,WH_B
2023-08-03,2832,PROD_4041,WH_C
2023-08-04,4198,PROD_4479,WH_C
2023-08-05,2057,PROD_3492,WH_A
2023-08-06,2918,PROD_8335,WH_A
2023-08-07,3830,PROD_1257,WH_B
2023-08-08,3302,PROD_1404,WH_A
2023-08-09,3762,PROD_2660,WH_B
2023-08-10,3648,PROD_3591,WH_C
2023-08-11,3997,PROD_8605,WH_B
2023-08-12,2772,PROD_9067,WH_A
2023-08-13,2394,PROD_2168,WH_A
2023-08-14,3133,PROD_9652,WH_C
2023-08-15,3845,PROD_2529,WH_A
2023-08-16,2815,PROD_3177,WH_B
2023-08-17,4172,PROD_6702,WH_A
2023-08-18,3261,PROD_5466,WH_B
2023-08-19,2712,PROD_7193,WH_A
2023-08-20,2276,PROD_7936,WH_C
2023-08-21,3398,PROD_9292,WH_B
2023-08-22,3808,PROD_5950,WH_A
2023-08-23,3660,PROD_4174,WH_A
2023-08-24,3376,PROD_1047,WH_B
2023-08-25,3610,PROD_8890,WH_C
2023-08-26,2168,PROD_3790,WH_A
2023-08-27,2262,PROD_3170,WH_C
2023-08-28,3363,PROD_8592,WH_B
2023-08-29,3840,PROD_1580,WH_C
2023-08-30,3961,PROD_4915,WH_B
2023-08-31,3978,PROD_6974,WH_B
2023-09-01,3279,PROD_2275,WH_C
2023-09-02,2627,PROD_7060,WH_C
2023-09-03,2740,PROD_8187,WH_A
2023-09-04,3266,PROD_3470,WH_A
2023-09-05,3867,PROD_9675,WH_B
2023-09-06,4478,PROD_2961,WH_C
2023-09-07,4460,PROD_2273,WH_C
2023-09-08,3037,PROD_9644,WH_B
2023-09-09,2908,PROD_1942,WH_A
2023-09-10,2848,PROD_2019,WH_B
2023-09-11,3476,PROD_4464,WH_B
2023-09-12,3226,PROD_8221,WH_B
2023-09-13,4121,PROD_3388,WH_A
2023-09-14,3420,PROD_9385,WH_C
2023-09-15,4262,PROD_1176,WH_A
2023-09-16,2317,PROD_5480,WH_C
2023-09-17,2134,PROD_6764,WH_B
2023-09-18,4138,PROD_5005,WH_B
2023-09-19,4453,PROD_6119,WH_A
2023-09-20,3509,PROD_7360,WH_C
2023-09-21,4058,PROD_1426,WH_C
2023-09-22,3247,PROD_1909,WH_A
2023-09-23,2373,PROD_7400,WH_C
2023-09-24,2229,PROD_7062,WH_A
2023-09-25,3134,PROD_2750,WH_B
2023-09-26,3964,PROD_9599,WH_C
2023-09-27,3939,PROD_4415,WH_B
2023-09-28,3389,PROD_9565,WH_C
2023-09-29,3692,PROD_4814,WH_C
2023-09-30,2570,PROD_6603,WH_C
2023-10-01,2660,PROD_3801,WH_B
2023-10-02,3452,PROD_5515,WH_B
2023-10-03,4215,PROD_5305,WH_B
2023-10-04,3382,PROD_2742,WH_C
2023-10-05,4227,PROD_9863,WH_A
2023-10-06,4292,PROD_8721,WH_C
2023-10-07,2298,PROD_3440,WH_A
2023-10-08,2702,PROD_6093,WH_B
2023-10-09,3584,PROD_2665,WH_A
2023-10-10,3455,PROD_2573,WH_A
2023-10-11,3648,PROD_8377,WH_B
2023-10-12,4477,PROD_9499,WH_A
2023-10-13,3853,PROD_7092,WH_C
2023-10-14,2587,PROD_4178,WH_B
2023-10-15,3242,PROD_5660,WH_B
2023-10-16,4195,PROD_9706,WH_B
2023-10-17,3385,PROD_6738,WH_B
2023-10-18,4786,PROD_9672,WH_B
2023-10-19,3403,PROD_2714,WH_A
2023-10-20,3652,PROD_3764,WH_A
2023-10-21,3100,PROD_6021,WH_B
2023-10-22,3229,PROD_5193,WH_A
2023-10-23,3577,PROD_2038,WH_C
2023-10-24,4090,PROD_4001,WH_B
2023-10-25,3253,PROD_4269,WH_A
2023-10-26,4358,PROD_2315,WH_C
2023-10-27,4492,PROD_2070,WH_B
2023-10-28,2518,PROD_5726,WH_B
2023-10-29,3121,PROD_3242,WH_B
2023-10-30,3682,PROD_7089,WH_A
2023-10-31,3732,PROD_6133,WH_A
2023-11-01,3560,PROD_2738,WH_A
2023-11-02,4343,PROD_8541,WH_A
2023-11-03,4517,PROD_1374,WH_B
2023-11-04,2707,PROD_8441,WH_B
2023-11-05,2482,PROD_2925,WH_C
2023-11-06,3808,PROD_5136,WH_B
2023-11-07,4754,PROD_6997,WH_A
2023-11-08,3942,PROD_3027,WH_C
2023-11-09,3518,PROD_4152,WH_A
2023-11-10,4299,PROD_1764,WH_C
2023-11-11,2920,PROD_7336,WH_A
2023-11-12,2439,PROD_4842,WH_B
2023-11-13,5003,PROD_4643,WH_A
2023-11-14,3672,PROD_9953,WH_A
2023-11-15,3523,PROD_4502,WH_A
2023-11-16,4660,PROD_7473,WH_C
2023-11-17,4708,PROD_8790,WH_B
2023-11-18,2614,PROD_6545,WH_C
2023-11-19,2920,PROD_4182,WH_B
2023-11-20,3832,PROD_6037,WH_A
2023-11-21,4730,PROD_1007,WH_C
2023-11-22,4892,PROD_8625,WH_C
2023-11-23,3584,PROD_8927,WH_B
2023-11-24,4003,PROD_5642,WH_A
2023-11-25,3390,PROD_7909,WH_C
2023-11-26,3441,PROD_3094,WH_C
2023-11-27,4301,PROD_9031,WH_A
2023-11-28,4105,PROD_9111,WH_B
2023-11-29,4164,PROD_5167,WH_B
2023-11-30,4054,PROD_1638,WH_C
2023-12-01,5023,PROD_8321,WH_A
2023-12-02,3697,PROD_2772,WH_C
2023-12-03,2961,PROD_3012,WH_B
2023-12-04,3929,PROD_3743,WH_B
2023-12-05,4142,PROD_7845,WH_C
2023-12-06,3702,PROD_3801,WH_C
2023-12-07,4392,PROD_9278,WH_A
2023-12-08,4220,PROD_9954,WH_B
2023-12-09,2823,PROD_8606,WH_C
2023-12-10,3438,PROD_3741,WH_A
2023-12-11,4814,PROD_9995,WH_C
2023-12-12,4943,PROD_7358,WH_C
2023-12-13,5394,PROD_9344,WH_C
2023-12-14,5224,PROD_1300,WH_B
2023-12-15,3894,PROD_5822,WH_A
2023-12-16,3065,PROD_2646,WH_B
2023-12-17,3063,PROD_1580,WH_B
2023-12-18,4151,PROD_1824,WH_B
2023-12-19,4917,PROD_5512,WH_A
2023-12-20,5362,PROD_7676,WH_A
2023-12-21,3990,PROD_6439,WH_C
2023-12-22,5190,PROD_4844,WH_A
2023-12-23,3682,PROD_6905,WH_B
2023-12-24,3749,PROD_3929,WH_B
2023-12-25,5275,PROD_4360,WH_B
2023-12-26,4957,PROD_3680,WH_A
2023-12-27,4063,PROD_4874,WH_B
2023-12-28,4122,PROD_9556,WH_A
2023-12-29,4257,PROD_7595,WH_A
2023-12-30,2573,PROD_7317,WH_C
2023-12-31,2703,PROD_8770,WH_C
